,Coefficient,Std_Err,Z_value,P_value
const,-7.078713382832724,0.35764524214340926,-19.792555719207048,3.450911176648898e-87
SEXO,1.060906347210767,0.15217282960596698,6.971719918449665,3.1308940680370102e-12
Estado_Civil,-0.09166093029488229,0.08031361680327566,-1.141287541805038,0.253750284775753
Escolaridade,0.5448685944810522,0.06367353784123675,8.557221931654317,1.1561982538649866e-17
NUTII,-0.03875144886529405,0.03738409248673269,-1.036575887967499,0.299933555367744
Idade,0.01705235832175304,0.00466294755299468,3.6569912331099506,0.00025519310503576044
