,precision,recall,f1-score,support,accuracy
0,0.9694656488549618,0.9980353634577603,0.9835430784123911,509.0,0.9676190476190476
1,0.0,0.0,0.0,16.0,0.9676190476190476
accuracy,0.9676190476190476,0.9676190476190476,0.9676190476190476,0.9676190476190476,0.9676190476190476
macro avg,0.4847328244274809,0.49901768172888017,0.49177153920619554,525.0,0.9676190476190476
weighted avg,0.9399200290803343,0.9676190476190476,0.9535684322131563,525.0,0.9676190476190476
