,precision,recall,f1-score,support,accuracy
0,0.9695238095238096,1.0,0.9845261121856866,509.0,0.9695238095238096
1,0.0,0.0,0.0,16.0,0.9695238095238096
accuracy,0.9695238095238096,0.9695238095238096,0.9695238095238096,0.9695238095238096,0.9695238095238096
macro avg,0.4847619047619048,0.5,0.4922630560928433,525.0,0.9695238095238096
weighted avg,0.9399764172335602,0.9695238095238096,0.9545215068619324,525.0,0.9695238095238096
