DepressivePathGroup,value,wave,variable
1,6.924514200298954,T1,Hours of Sleep per Day
2,6.044444444444444,T1,Hours of Sleep per Day
3,6.115384615384615,T1,Hours of Sleep per Day
1,6.694915254237288,T2,Hours of Sleep per Day
2,6.203703703703703,T2,Hours of Sleep per Day
3,5.633333333333334,T2,Hours of Sleep per Day
1,6.956295975768065,T3,Hours of Sleep per Day
2,6.65945945945946,T3,Hours of Sleep per Day
3,5.859375,T3,Hours of Sleep per Day
