,0
const,8.359975452942084e-253
eq5d5,0.008493343445746935
hads1,1.3628907675118378e-06
hads3,0.0002217716310594416
hads7,1.429377469010454e-08
eq5d1,0.02104483205083995
hads5,3.280965874973523e-05
haqScore,2.055559306543033e-05
hads13,0.012843720117570871
