,Coefficient,Std_Err,Z_value,P_value
const,-0.1478140545296447,0.017288322315265333,-8.549936300014899,1.231564621331438e-17
SEXO,0.04636567588963086,0.008094128434051995,5.728309881341946,1.0143614830101871e-08
Estado_Civil,0.00013051485822508096,0.0031704312790476574,0.04116627888691704,0.9671633364227539
Escolaridade,0.021400485623434946,0.003542149256949284,6.04166681611445,1.5253019383158057e-09
NUTII,-5.6761993368718955e-05,0.0021088092968197243,-0.026916608085103374,0.978526246980263
Idade_T0,0.0013726101253797968,0.0002941307495876846,4.666666532839342,3.0612554660315476e-06
Group Var,1.0,,,
