,Coefficient,Std_Err,Z_value,P_value
const,-0.06318267883486693,0.02007472317654456,-3.1473748494171017,0.0016474361321059542
SEXO,0.034762722402742495,0.007589424204212141,4.580416309243741,4.640512855738701e-06
Estado_Civil,-0.007031601269497974,0.004204899360823351,-1.6722400861744127,0.09447698878323156
Escolaridade,0.015640541363059056,0.0034634661354892102,4.515863805565938,6.305918470315044e-06
NUTII,-0.002335310146811556,0.001978701142084064,-1.1802237827345137,0.23791122239620355
Idade_T3,0.0005059735848165881,0.0002888423141566963,1.751729438582529,0.0798203423635552
Group Var,1.0,,,
