,Coefficient,Std_Err,Z_value,P_value
const,-0.15790955889457162,0.022319930293038578,-7.0748231209226695,1.4963950327748236e-12
SEXO,0.05322719488934219,0.008827008136152815,6.030038045545617,1.6392108467080193e-09
Estado_Civil,-0.0044772587745963354,0.0048837083891734015,-0.9167743890118181,0.35926087578882004
Escolaridade,0.027364241771577914,0.004024528783537703,6.799365402357435,1.050809865284712e-11
NUTII,-0.002869772218886509,0.0023002884121129316,-1.247570610613335,0.21218834680112852
Idade_T1,0.0015430755226378586,0.000336949063417717,4.579551303648831,4.659744839047902e-06
Group Var,1.0,,,
